,artist,region,date,n
401,Tones And I,New Zealand,2019,64
402,Kendrick Lamar,United States,2017,64
403,Dua Lipa,Ireland,2017,64
404,"J Balvin, Willy William",Mexico,2017,64
405,Cardi B,United States,2020,64
406,"Bad Bunny, Jhay Cortez",Mexico,2021,64
407,Lil Nas X,Israel,2021,64
408,Bausa,Austria,2017,64
409,"Cledos, ibe, Averagekidluke, A36",Finland,2021,64
410,"Shawn Mendes, Camila Cabello",Philippines,2019,63
411,"Shawn Mendes, Camila Cabello",Ireland,2019,63
412,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Panama,2019,63
413,Roddy Ricch,South Africa,2020,63
414,Maluma,Ecuador,2017,63
415,"Bad Bunny, Jhay Cortez",El Salvador,2020,63
416,"Bad Bunny, Jhay Cortez",Costa Rica,2020,63
417,"Bad Bunny, Jhay Cortez",Guatemala,2020,63
418,"Bad Bunny, Jhay Cortez",Nicaragua,2020,63
419,"Bad Bunny, Jhay Cortez",Honduras,2020,63
420,"Bad Bunny, Jhay Cortez",Ecuador,2020,63
421,"Bad Bunny, Jhay Cortez",Panama,2020,63
422,"Bad Bunny, Jhay Cortez",Dominican Republic,2020,63
423,"Bad Bunny, Jhay Cortez",Chile,2020,63
424,"Myke Towers, Juhn",Peru,2021,63
425,Maluma,Bolivia,2021,63
426,"Natti Natasha, Ozuna",Uruguay,2017,63
427,Ariana Grande,Malaysia,2020,62
428,Gilli,Denmark,2019,62
429,Ariana Grande,Israel,2019,62
430,Ariana Grande,Lithuania,2019,62
431,"Sech, Darell",Guatemala,2019,62
432,Billie Eilish,Slovakia,2019,62
433,Axwell /\ Ingrosso,Austria,2017,62
434,"Luis Fonsi, Daddy Yankee, Justin Bieber",Luxembourg,2017,62
435,Edan 呂爵安,Hong Kong,2021,62
436,"Bad Bunny, Jhay Cortez",Paraguay,2020,62
437,"Bad Bunny, Jhay Cortez",Colombia,2020,62
438,The Kid LAROI,Denmark,2021,62
439,"Los Legendarios, Wisin, Jhay Cortez",Dominican Republic,2021,62
440,Piso 21,Bolivia,2017,62
441,"Post Malone, 21 Savage",Sweden,2017,62
442,"Post Malone, 21 Savage",Slovakia,2017,62
443,Ed Sheeran,Sweden,2017,61
444,DaBaby,Belgium,2020,61
445,Justin Bieber,Philippines,2020,61
446,Faisal Abdulkareem,Saudi Arabia,2020,61
447,Marwan Moussa,Egypt,2020,61
448,IV Of Spades,Philippines,2018,61
449,"Aleyna Tilki, Emrah Karaduman",Turkey,2018,61
