,title,artist,date,n
230,Beggin',Måneskin,2021-06,94
231,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-05,92
232,Secreto,"Anuel AA, KAROL G",2019-01,92
233,Life Goes On,BTS,2020-11,92
234,New Rules,Dua Lipa,2017-09,92
235,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-04,91
236,FAKE LOVE,BTS,2018-05,90
237,GOOBA,6ix9ine,2020-05,90
238,Rojo,J Balvin,2020-04,90
239,Fiel,"Los Legendarios, Wisin, Jhay Cortez",2021-03,90
240,Tusa,"KAROL G, Nicki Minaj",2019-11,89
241,Godzilla (feat. Juice WRLD),Eminem,2020-01,89
242,This Is America,Childish Gambino,2018-05,88
243,God's Plan,Drake,2018-04,88
244,Circles,Post Malone,2019-09,88
245,Mood (feat. iann dior),24kGoldn,2020-11,88
246,Wolves,"Selena Gomez, Marshmello",2017-11,88
247,"break up with your girlfriend, i'm bored",Ariana Grande,2019-02,87
248,Toosie Slide,Drake,2020-05,86
249,drivers license,Olivia Rodrigo,2021-03,86
250,Mayores,"Becky G, Bad Bunny",2017-10,85
251,In My Mind,"Dynoro, Gigi D'Agostino",2018-10,83
252,One Kiss (with Dua Lipa),Calvin Harris,2018-04,82
253,Shallow,"Lady Gaga, Bradley Cooper",2019-03,82
254,All The Stars (with SZA),Kendrick Lamar,2018-02,81
255,Botella Tras Botella,"Gera MX, Christian Nodal",2021-05,81
256,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2019-04,80
257,Ignorantes,"Bad Bunny, Sech",2020-02,80
258,I WANNA BE YOUR SLAVE,Måneskin,2021-06,80
259,Happier,"Marshmello, Bastille",2018-10,79
260,On The Ground,ROSÉ,2021-03,79
261,Sin Pijama,"Becky G, Natti Natasha",2018-07,78
262,no tears left to cry,Ariana Grande,2018-04,77
263,Cuando Te Besé,"Becky G, Paulo Londra",2018-09,76
264,death bed (coffee for your head),"Powfu, beabadoobee",2020-04,76
265,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",2017-05,76
266,Kiss Me More (feat. SZA),Doja Cat,2021-05,76
267,2U (feat. Justin Bieber),David Guetta,2017-06,75
268,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",2020-08,75
269,Heat Waves,Glass Animals,2021-10,75
270,Wolves,"Selena Gomez, Marshmello",2017-12,75
271,River (feat. Ed Sheeran),Eminem,2018-01,74
272,no tears left to cry,Ariana Grande,2018-05,73
273,Chantaje (feat. Maluma),Shakira,2017-01,73
274,Dynamite,BTS,2020-10,73
275,Blinding Lights,The Weeknd,2020-06,72
276,Cristal & МОЁТ,MORGENSHTERN,2021-01,72
277,Robarte un Beso,"Carlos Vives, Sebastian Yatra",2017-09,72
278,Symphony (feat. Zara Larsson),Clean Bandit,2017-04,71
279,Dusk Till Dawn - Radio Edit,"ZAYN, Sia",2017-10,71
280,99 Problems,"Big Baby Tape, kizaru",2021-11,71
281,All The Stars (with SZA),Kendrick Lamar,2018-03,70
282,Me Rehúso,Danny Ocean,2017-04,70
283,Rojo,J Balvin,2020-06,69
284,Sweet but Psycho,Ava Max,2019-01,69
285,Calma - Remix,"Pedro Capó, Farruko",2019-02,69
286,positions,Ariana Grande,2020-10,69
287,Pepas,Farruko,2021-09,69
288,Me Rehúso,Danny Ocean,2017-07,68
289,No Es Justo,"J Balvin, Zion & Lennox",2018-08,67
290,Memories,Maroon 5,2019-12,66
291,Échame La Culpa,"Luis Fonsi, Demi Lovato",2018-01,66
292,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021-11,66
293,Sweet but Psycho,Ava Max,2018-11,65
294,Boy With Luv (feat. Halsey),BTS,2019-05,65
295,Fantasias,"Rauw Alejandro, Farruko",2019-11,65
296,Roses - Imanbek Remix,SAINt JHN,2020-06,64
297,Solo (feat. Demi Lovato),Clean Bandit,2018-06,64
298,Dusk Till Dawn - Radio Edit,"ZAYN, Sia",2017-09,64
299,Solo (feat. Demi Lovato),Clean Bandit,2018-07,63
300,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2018-09,63
301,Mamichula - con Nicki Nicole,"Trueno, Bizarrap, Taiu, TATOOL",2020-08,63
302,More Than You Know,Axwell /\ Ingrosso,2017-09,63
303,Too Good At Goodbyes - Edit,Sam Smith,2017-09,63
304,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-06,62
305,Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",2018-09,62
306,ROXANNE,Arizona Zervas,2019-11,62
307,Dance Monkey,Tones And I,2020-03,62
308,Corazón,"Maluma, Nego do Borel",2018-01,62
309,Starboy,"The Weeknd, Daft Punk",2017-01,61
310,LA CANCIÓN,"J Balvin, Bad Bunny",2019-10,61
311,Tusa,"KAROL G, Nicki Minaj",2020-03,61
312,Vaina Loca,"Ozuna, Manuel Turizo",2018-07,60
313,SOS,"Avicii, Aloe Blacc",2019-04,60
314,Was du Liebe nennst,Bausa,2017-11,60
315,BEBE,"6ix9ine, Anuel AA",2018-09,59
316,Blinding Lights,The Weeknd,2020-07,59
317,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2017-11,59
318,Sobrio,Maluma,2021-09,59
319,Volví,"Aventura, Bad Bunny",2021-08,59
320,Bar,"TINI, L-Gante",2021-12,59
321,Eastside (with Halsey & Khalid),benny blanco,2018-08,58
322,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2019-06,58
323,Rojo,J Balvin,2020-03,58
324,No Es Justo,"J Balvin, Zion & Lennox",2018-07,57
325,Kill This Love,BLACKPINK,2019-05,57
326,Someone You Loved,Lewis Capaldi,2019-03,57
327,Otro Trago,"Sech, Darell",2019-04,57
328,Señorita,"Shawn Mendes, Camila Cabello",2019-10,57
329,Felices los 4,Maluma,2017-07,57
330,Todo De Ti,Rauw Alejandro,2021-07,57
331,Yonaguni,Bad Bunny,2021-10,57
332,Bar,"TINI, L-Gante",2021-11,57
333,Heartbreak Anniversary,Giveon,2021-03,56
334,Botella Tras Botella,"Gera MX, Christian Nodal",2021-04,56
335,Una Lady Como Tú,Manuel Turizo,2017-09,56
336,Stuck with U (with Justin Bieber),Ariana Grande,2020-05,55
337,Don’t Matter To Me,"Drake, Michael Jackson",2018-07,55
338,MIA (feat. Drake),Bad Bunny,2018-12,55
339,Friends (with BloodPop®),Justin Bieber,2017-08,55
340,HUMBLE.,Kendrick Lamar,2017-05,55
341,Miénteme,"TINI, Maria Becerra",2021-05,55
342,Galway Girl,Ed Sheeran,2017-03,54
343,"""Agua (with J Balvin) - Music From """"Sponge On The Run"""" Movie""",Tainy,2020-07,54
344,Corazón,"Maluma, Nego do Borel",2017-12,54
345,Bella,Wolfine,2018-01,54
346,Sweet but Psycho,Ava Max,2018-10,53
347,DDU-DU DDU-DU,BLACKPINK,2018-06,53
348,Sweet but Psycho,Ava Max,2018-12,53
349,Wow.,Post Malone,2018-12,53
350,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020-11,53
351,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-03,53
352,Was du Liebe nennst,Bausa,2017-12,53
353,Intentions (feat. Quavo),Justin Bieber,2020-02,52
354,How You Like That,BLACKPINK,2020-08,52
355,Rewrite The Stars,"Zac Efron, Zendaya",2018-01,52
356,Better Now,Post Malone,2018-06,51
357,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2018-10,51
358,SOLO,JENNIE,2018-12,51
359,وناسه,DJ-MK,2020-08,51
360,Perfect,Ed Sheeran,2017-11,51
361,Too Good At Goodbyes,Sam Smith,2017-11,51
362,How You Like That,BLACKPINK,2020-06,50
363,Shallow,"Lady Gaga, Bradley Cooper",2019-02,50
364,bad guy,Billie Eilish,2019-03,50
365,2U (feat. Justin Bieber),David Guetta,2017-07,50
366,Yo Perreo Sola,Bad Bunny,2020-05,49
367,Quiere Beber,Anuel AA,2018-09,49
368,Last Christmas,Wham!,2018-12,49
369,Thunder,Imagine Dragons,2017-06,49
370,AM,"Nio Garcia, Flow La Movie",2021-05,49
371,Entre Nosotros,"Tiago PZK, LIT killah",2021-08,49
372,Bella,Wolfine,2018-02,48
373,Neymar,"Capital Bra, Ufo361",2018-05,48
374,LA CANCIÓN,"J Balvin, Bad Bunny",2019-07,48
375,New Rules,Dua Lipa,2017-08,48
376,Was du Liebe nennst,Bausa,2018-01,48
377,Sick Boy,The Chainsmokers,2018-02,47
378,Youngblood,5 Seconds of Summer,2018-06,47
379,Roses - Imanbek Remix,SAINt JHN,2020-03,47
380,Vete,Bad Bunny,2019-11,47
381,Снова я напиваюсь,SLAVA MARLOW,2020-11,47
382,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",2019-04,46
383,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2019-05,46
384,Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-10,46
385,Снова я напиваюсь,SLAVA MARLOW,2020-12,46
386,Si Te Vas,"Sech, Ozuna",2019-10,45
387,The Business,Tiësto,2021-01,45
388,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan",2021-06,45
389,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2018-01,45
390,IDGAF,Dua Lipa,2018-02,44
391,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-03,44
392,eight(Prod.&Feat. SUGA of BTS),IU,2020-05,44
393,Wieder Lila,"Samra, Capital Bra",2019-05,44
394,Mood (feat. iann dior),24kGoldn,2020-12,44
395,RAPSTAR,Polo G,2021-04,44
396,STAY (with Justin Bieber),The Kid LAROI,2021-11,44
397,Svag,Victor Leksell,2020-05,43
398,Svag,Victor Leksell,2020-06,43
399,Calma - Remix,"Pedro Capó, Farruko",2018-11,43
400,Au DD,PNL,2019-04,43
401,Una Lady Como Tú,Manuel Turizo,2017-07,43
402,وناسه,DJ-MK,2020-07,43
403,Caramelo,Ozuna,2020-07,43
404,Tattoo - Remix with Camilo,Rauw Alejandro,2020-07,43
405,What’s Next,Drake,2021-03,43
406,I Fall Apart,Post Malone,2018-01,43
407,BYE ME FUI,Bad Bunny,2020-05,42
408,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-12,42
409,SOLO,JENNIE,2018-11,41
410,Adicto (with Anuel AA & Ozuna),Tainy,2019-10,41
411,說好不哭,"Jay Chou, 阿信",2019-09,41
412,everything i wanted,Billie Eilish,2019-12,41
413,Thunder,Imagine Dragons,2017-08,41
414,Butter,BTS,2021-07,41
415,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020-12,41
416,Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS",2021-02,41
417,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-04,41
418,Robarte un Beso,"Carlos Vives, Sebastian Yatra",2017-10,41
419,Mayores,"Becky G, Bad Bunny",2017-09,41
420,IDGAF,Dua Lipa,2018-03,40
421,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01,40
422,Eastside (with Halsey & Khalid),benny blanco,2018-09,40
423,Shallow,"Lady Gaga, Bradley Cooper",2019-01,40
424,ROXANNE,Arizona Zervas,2019-12,40
425,No Time To Die,Billie Eilish,2020-02,40
426,Something Just Like This,"The Chainsmokers, Coldplay",2017-05,40
427,Head & Heart (feat. MNEK),Joel Corry,2020-08,40
428,All I Want for Christmas Is You,Mariah Carey,2020-11,40
429,LALISA,LISA,2021-09,40
430,Fantasias,"Rauw Alejandro, Farruko",2019-10,39
431,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,2021-03,39
432,"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante",2021-03,39
433,Suena El Dembow,"Joey Montana, Sebastian Yatra",2017-10,39
434,Cold Heart - PNAU Remix,"Elton John, Dua Lipa",2021-11,39
435,Be Alright,Dean Lewis,2018-09,38
436,Robarte un Beso,"Carlos Vives, Sebastian Yatra",2017-08,38
437,Shape of You,Ed Sheeran,2017-06,38
438,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017-06,38
439,ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-08,38
440,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",2021-05,38
