,title,artist,region,date,n
308,rockstar,"Post Malone, 21 Savage",United Kingdom,2017-10,31
309,rockstar,"Post Malone, 21 Savage",Canada,2017-10,31
310,rockstar,"Post Malone, 21 Savage",Sweden,2017-10,31
311,rockstar,"Post Malone, 21 Savage",Greece,2017-10,31
312,rockstar,"Post Malone, 21 Savage",Norway,2017-10,31
313,rockstar,"Post Malone, 21 Savage",New Zealand,2017-10,31
314,Criminal,"Natti Natasha, Ozuna",Argentina,2017-10,31
315,Criminal,"Natti Natasha, Ozuna",Uruguay,2017-10,31
316,rockstar,"Post Malone, 21 Savage",Denmark,2017-10,31
317,Too Good At Goodbyes - Edit,Sam Smith,Indonesia,2017-10,31
318,Shape of You,Ed Sheeran,Japan,2017-10,31
319,rockstar,"Post Malone, 21 Savage",Australia,2017-10,31
320,Entre Nosotros,"Tiago PZK, LIT killah",Argentina,2021-08,31
321,STAY (with Justin Bieber),The Kid LAROI,Singapore,2021-08,31
322,Yonaguni,Bad Bunny,Costa Rica,2021-08,31
323,אפס מאמץ,"Static & Ben El, Netta",Israel,2021-08,31
324,MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta",Italy,2021-08,31
325,STAY (with Justin Bieber),The Kid LAROI,Malaysia,2021-08,31
326,STAY (with Justin Bieber),The Kid LAROI,Global,2021-08,31
327,STAY (with Justin Bieber),The Kid LAROI,United Arab Emirates,2021-08,31
328,STAY (with Justin Bieber),The Kid LAROI,Taiwan,2021-08,31
329,STAY (with Justin Bieber),The Kid LAROI,Sweden,2021-08,31
330,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Colombia,2017-12,31
331,Yanıyoruz,Burak King,Turkey,2018-01,31
332,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Bolivia,2018-01,31
333,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Guatemala,2018-01,31
334,Shape of You,Ed Sheeran,Japan,2018-01,31
335,Havana,"Camila Cabello, Young Thug",Indonesia,2017-12,31
336,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Bolivia,2017-12,31
337,Langsom,Gilli,Denmark,2018-01,31
338,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Colombia,2018-01,31
339,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"Anitta, Mc Zaac, Maejor",Brazil,2018-01,31
340,Bar,"TINI, L-Gante",Bolivia,2021-12,31
341,Corazón,"Maluma, Nego do Borel",Peru,2018-01,31
342,Versace on the Floor,Bruno Mars,Philippines,2017-01,30
343,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Uruguay,2020-06,30
344,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Guatemala,2018-05,30
345,Favorito,Camilo,Uruguay,2020-05,30
346,ROCKSTAR (feat. Roddy Ricch),DaBaby,Australia,2020-06,30
347,Favorito,Camilo,Peru,2020-05,30
348,BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",Poland,2020-05,30
349,X,"Nicky Jam, J Balvin",Uruguay,2018-04,30
350,ROCKSTAR (feat. Roddy Ricch),DaBaby,Belgium,2020-06,30
351,Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway",Poland,2018-04,30
352,Rojo,J Balvin,Colombia,2020-05,30
353,Kevät,"Adi L Hasla, Pihlaja",Finland,2018-05,30
354,God's Plan,Drake,Latvia,2018-03,30
355,God's Plan,Drake,Global,2018-03,30
356,X,"Nicky Jam, J Balvin",Argentina,2018-04,30
357,Svag,Victor Leksell,Norway,2020-05,30
358,ROCKSTAR (feat. Roddy Ricch),DaBaby,United Kingdom,2020-06,30
359,X,"Nicky Jam, J Balvin",Bolivia,2018-04,30
360,ROCKSTAR (feat. Roddy Ricch),DaBaby,Ireland,2020-06,30
361,God's Plan,Drake,Belgium,2018-03,30
362,X,"Nicky Jam, J Balvin",Guatemala,2018-04,30
363,X,"Nicky Jam, J Balvin",El Salvador,2018-04,30
364,Toosie Slide,Drake,Portugal,2020-05,30
365,X,"Nicky Jam, J Balvin",Mexico,2018-04,30
366,ภาพจำ,Pop Pongkool,Thailand,2018-04,30
367,079,Lo & Leduc,Switzerland,2018-05,30
368,079,Lo & Leduc,Switzerland,2018-04,30
369,Blinding Lights,The Weeknd,Lithuania,2020-05,30
370,夜に駆ける,YOASOBI,Japan,2020-06,30
371,X,"Nicky Jam, J Balvin",Peru,2018-04,30
372,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Mexico,2018-06,30
373,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Panama,2018-06,30
374,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Peru,2018-06,30
375,Yalnız Çiçek,"Aleyna Tilki, Emrah Karaduman",Turkey,2018-06,30
376,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Guatemala,2018-06,30
377,Ao Vivo E A Cores,"Matheus & Kauan, Anitta",Brazil,2018-06,30
378,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Bolivia,2018-06,30
379,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Ecuador,2018-06,30
380,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Honduras,2018-06,30
381,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Argentina,2018-06,30
